Roll Number,Legal Address,Tax/Exempt,Prop Type Code,Prop Type,Payer Type,Land Value,Impr. Value,Other Value,Total Value,Street Address,Prop Subtype,Description,Town,Tax Year
500010,"8054EK A 1    SW-12-20-3-56,000 Sq. Feet",,T,"2
 Residential",,84300,44200,0,128500,502 SUNSET BLVD. N.W.,,,TV,2014
500020,"8054EK A 2    SW-12-20-3-56,000 Sq. Feet",,T,"2
 Residential",,84300,104200,0,188500,504 SUNSET BLVD. N.W.,,,TV,2014
500030,"8054EK A 3    SW-12-20-3-56,000 Sq. Feet",,T,"2
 Residential",,84300,163600,0,247900,506 SUNSET BLVD. N.W.,,,TV,2014
500040,"8054EK A 4    SW-12-20-3-56,000 Sq. Feet   50' X 120' Lot Area",,T,"2
 Residential",,84300,122700,0,207000,508 SUNSET BLVD. N.W.,,,TV,2014
500050,"8054EK A 5    SW-12-20-3-56,000 Sq. Feet",,T,"2
 Residential",,84300,87600,0,171900,510 SUNSET BLVD. N.W.,,,TV,2014
500060,"8054EK A 9    SW-12-20-3-510,330 Sq. Feet",,T,"2
 Residential",,98300,99700,0,198000,519 WINDSOR AVE. N.W.,,,TV,2014
500070,"8054EK A 10    SW-12-20-3-56,000 Sq. Feet",,T,"2
 Residential",,84300,107300,0,191600,517 WINDSOR AVE. N.W.,,,TV,2014
500080,"8054EK A 11    SW-12-20-3-56,000 Sq. Feet",,T,"2
 Residential",,84300,185800,0,270100,515 WINDSOR AVE. N.W.,,,TV,2014
500090,"8054EK A 12    SW-12-20-3-56,000 Sq. Feet",,T,"2
 Residential",,84300,191100,0,275400,513 WINDSOR AVE. N.W.,,,TV,2014
500100,"8054EK A 13    SW-12-20-3-56,000 Sq. Feet",,T,"2
 Residential",,84300,111100,0,195400,511 WINDSOR AVE. N.W.,,,TV,2014
500110,"8054EK A 14    SW-12-20-3-56,000 Sq. Feet",,T,"2
 Residential",,84300,133500,0,217800,509 WINDSOR AVE. N.W.,,,TV,2014
500120,"8054EK A 15,16    SW-12-20-3-512,000 Sq. Feet",,T,"2
 Residential",,100400,171200,0,271600,505 WINDSOR AVE. N.W.,,,TV,2014
500140,"8054EK A 17    SW-12-20-3-56,000 Sq. Feet",,T,"2
 Residential",,84300,188100,0,272400,503 WINDSOR AVE. N.W.,,,TV,2014
500150,"8054EK A 18    SW-12-20-3-56,000 Sq. Feet",,T,"2
 Residential",,84300,132300,0,216600,501 WINDSOR AVE. NW,,,TV,2014
500160,"8054EK B 1    SW-12-20-3-56,780 Sq. Feet",,T,"2
 Residential",,87000,100700,0,187700,502 WINDSOR AVE. N.W.,,,TV,2014
500170,"8054EK B 2    SW-12-20-3-56,780 Sq. Feet",,T,"2
 Residential",,87000,125300,0,212300,504 WINDSOR AVE. N.W.,,,TV,2014
500180,"8054EK B 3    SW-12-20-3-513,560 Sq. Feet",,T,"2
 Residential",,102300,73900,0,176200,156 JOHN ST. N.W.,,,TV,2014
500200,8054EK B 4    SW-12-20-3-52.00 Acres   Lot 4 (Park Reserve)Public Works,,E,"10
Municipal Public Lands-Exempt",,179500,254000,0,433500,514 WINDSOR AVE. N.W.,,,TV,2014
500250,8054EK B 5    SW-12-20-3-52.00 Acres   Lot 5 (Public Works Reserve),,E,"10
Municipal Public Lands-Exempt",,179500,123200,0,302700,526 WINDSOR AVE. N.W.,,,TV,2014
500300,"7710288 A 5    SW-12-20-3-52,940 Sq. Feet",,T,"2
 Residential",,55400,117800,0,173200,512 SUNSET BLVD. N.W.,,,TV,2014
500310,"7710288 A 4    SW-12-20-3-52,160 Sq. Feet",,T,"2
 Residential",,40700,118500,0,159200,514 SUNSET BLVD. N.W.,,,TV,2014
500320,"7710288 A 3    SW-12-20-3-52,160 Sq. Feet",,T,"2
 Residential",,40700,126100,0,166800,516 SUNSET BLVD. N.W.,,,TV,2014
