Roll Number,Legal Address,Tax/Exempt,Prop Type Code,Prop Type,Payer Type,Land Value,Impr. Value,Other Value,Total Value,Street Address,Prop Subtype,Description,Town,Tax Year
500330,"7710288 A 2    SW-12-20-3-52,940 Sq. Feet   24.5' X 120'",,T,"2
 Residential",,55400,117400,0,172800,518 SUNSET BLVD. N.W.,,,TV,2014
500340,"7710288 A 1    SE-12-20-3-57,970 Sq. Feet",,T,"2
 Residential",,91000,173600,0,264600,102 SUNSET BLVD. N.W.,,,TV,2014
600010,"2474DN A 1    SE-12-20-3-58,780 Sq. Feet",,T,"2
 Residential",,19700,62500,0,82200,146 MAIN ST. N.W.,,,TV,2014
600010,"2474DN A 1    SE-12-20-3-58,780 Sq. Feet",,T,"3
Commercial",,45900,110900,0,156800,146 MAIN ST. N.W.,,,TV,2014
600015,2474DN 10'A 10    SE-12-20-3-5250 Sq. Feet   10' X 25' = 250ft2,,E,"10
Municipal Public Lands-Exempt",,1200,0,0,1200,103 EDGAR AVE. N.W.,,,TV,2014
600020,"2474DN A 1-3    SE-12-20-3-55,592 Sq. Feet   Portion of lots 1-3 West 48' of A & 1-3",,E,"10
Municipal Public Lands-Exempt",,47700,0,0,47700,105 EDGAR AVE. N.W.,,,TV,2014
600030,"0311914 26 34    SE-12-20-3-57,039 Sq. Feet",,T,"3
Commercial",,59000,218900,0,277900,140 MAIN ST. N.W.,,,TV,2014
600040,"0311914 26 35    SE-12-20-3-59,513 Sq. Feet",,T,"3
Commercial",,68400,0,0,68400,136 Main Street NW,,,TV,2014
600050,"2474DN  6,7    SE-12-20-3-59,780 Sq. Feet",,T,"3
Commercial",,69400,126100,0,195500,132 MAIN ST. N.W.,,,TV,2014
600060,"2474DN  8-10    SE-12-20-3-512,410 Sq. Feet",,T,"3
Commercial",,73100,232800,0,305900,128 MAIN ST. N.W.,,,TV,2014
600070,"2474DN  10-13    SE-12-20-3-514,850 Sq. Feet   TEAM REALTY, GRANNYS PIZZA DIAMOND",,T,"3
Commercial",,79800,468400,0,548200,118 MAIN ST. N.W.,,,TV,2014
600080,"2474DN  14,15    SE-12-20-3-59,776 Sq. Feet   That Portion of Lot 14 West of Street",,T,"3
Commercial",,69400,237600,0,307000,112 MAIN ST. N.W.,,,TV,2014
600090,"2474DN  16,17    SE-12-20-3-59,776 Sq. Feet   52' X 188'",,T,"3
Commercial",,69400,208700,0,278100,108 MAIN ST. N.W.,,,TV,2014
600100,"2474DN  18,19    SE-12-20-3-59,780 Sq. Feet",,T,"3
Commercial",,69400,399300,0,468700,104 MAIN ST. N.W.,,,TV,2014
600105,"2474DN  20    SE-12-20-3-56,020 Sq. Feet",,T,"3
Commercial",,54700,5800,0,60500,102 MAIN ST. N.W.,,,TV,2014
600110,"2474DN  21-23    SE-12-20-3-515,040 Sq. Feet",,T,"3
Commercial",,80200,396800,0,477000,104 SUNSET BLVD. N.W.,,,TV,2014
600120,"2474DN  24    SE-12-20-3-54,890 Sq. Feet",,T,"2
 Residential",,65700,45000,0,110700,110 SUNSET BLVD. N.W.,,,TV,2014
600130,"2474DN  25,26    SE-12-20-3-59,780 Sq. Feet",,T,"3
Commercial",,72900,264600,0,337500,112 SUNSET BLVD. N.W.,,,TV,2014
600140,"2474DN  27,28    SE-12-20-3-59,780 Sq. Feet",,T,"3
Commercial",,72900,74500,0,147400,116 SUNSET BLVD. N.W.,,,TV,2014
600150,"2474DN  29    SE-12-20-3-54,890 Sq. Feet",,T,"3
Commercial",,65700,0,0,65700,120 SUNSET BLVD. N.W.,,,TV,2014
600154,"2474DN  30,31    SE-12-20-3-59,780 Sq. Feet",,T,"3
Commercial",,69400,106700,0,176100,122 SUNSET BLVD. N.W.,,,TV,2014
600157,"2474DN  32    SE-12-20-3-54,890 Sq. Feet",,T,"3
Commercial",,65700,0,0,65700,126 SUNSET BLVD. N.W.,,,TV,2014
600160,"2474DN  33    SE-12-20-3-57,520 Sq. Feet",,T,"2
 Residential",,20300,41800,0,62100,130 SUNSET BLVD. N.W.,,,TV,2014
600160,"2474DN  33    SE-12-20-3-57,520 Sq. Feet",,E,"11
Institutional",,60900,119200,0,180100,130 SUNSET BLVD. N.W.,,,TV,2014
602010,"7423DQ 2 1-3    SE-12-20-3-59,000 Sq. Feet",,T,"2
 Residential",,85700,74200,0,159900,318 MAIN ST. N.W.,,,TV,2014
602020,"7423DQ 2 4,5    SE-12-20-3-56,000 Sq. Feet",,T,"3
Commercial",,76500,81600,0,158100,314 MAIN ST. N.W.,,,TV,2014
602040,"7423DQ 2 6-9    SE-12-20-3-512,000 Sq. Feet",,T,"2
 Residential",,91100,114300,0,205400,306 MAIN ST. N.W.,,,TV,2014
602050,"7423DQ 2 10,11    SE-12-20-3-57,080 Sq. Feet   TURNER VALLEY MAIN STREET GAS STATION",,T,"3
Commercial",,59200,281600,0,340800,302 MAIN ST. N.W.,,,TV,2014
602060,"8054EK 2 12,E13    SE-12-20-3-55,940 Sq. Feet",,T,"2
 Residential",,76000,118900,0,194900,108 FRONTENAC AVE. N.W.,,,TV,2014
602070,"8054EK 2 13,14    SE-12-20-3-55,940 Sq. Feet",,T,"2
 Residential",,76000,182400,0,258400,110 FRONTENAC AVE. N.W.,,,TV,2014
602080,"8054EK 2 15,16    SE-12-20-3-57,920 Sq. Feet",,T,"2
 Residential",,82400,169400,0,251800,112 FRONTENAC AVE. N.W.,,,TV,2014
602090,"8054EK 2 17,P18    SE-12-20-3-55,020 Sq. Feet   42.9' X 116.8'",,T,"2
 Residential",,67000,209700,0,276700,114 FRONTENAC AVE. N.W.,,,TV,2014
602100,"8054EK 2 P18,19    SE-12-20-3-53,960 Sq. Feet",,T,"2
 Residential",,54200,69600,0,123800,116 FRONTENAC AVE. N.W.,,,TV,2014
602110,"8054EK 2 19,20    SE-12-20-3-55,940 Sq. Feet   Westerly 17' of lot 19 all of lot 20",,T,"2
 Residential",,76000,205000,0,281000,118 FRONTENAC AVE. N.W.,,,TV,2014
602120,"8054EK 2 21    SE-12-20-3-53,960 Sq. Feet",,T,"2
 Residential",,54200,169100,0,223300,120 FRONTENAC AVE. N.W.,,,TV,2014
602130,"8054EK 2 22,23    SE-12-20-3-57,520 Sq. Feet",,T,"2
 Residential",,81200,50800,0,132000,122 FRONTENAC AVE. N.W.,,,TV,2014
602140,"8054EK 2 23,24    SE-12-20-3-53,400 Sq. Feet   West 20' & North 20' of Lot 23",,T,"2
 Residential",,45600,78400,0,124000,124 FRONTENAC AVE. N.W.,,,TV,2014
602150,"8054EK 2 25-W27    SE-12-20-3-514,470 Sq. Feet",,E,"11
Institutional",,93900,419800,0,513700,125 ROYAL AVE. N.W.,,,TV,2014
602160,"8054EK 2 27-29    SE-12-20-3-59,220 Sq. Feet",,T,"2
 Residential",,86400,114900,0,201300,115 ROYAL AVE. N.W.,,,TV,2014
602170,"8054EK 2 29-31    SE-12-20-3-510,800 Sq. Feet   3-(25') X 144' Lots Tied By Imps & C/T",,T,"2
 Residential",,85300,202500,0,287800,113 ROYAL AVE. N.W.,,,TV,2014
602180,"8054EK 2 31,32    SE-12-20-3-57,060 Sq. Feet",,T,"2
 Residential",,79800,147500,0,227300,111 ROYAL AVE. N.W.,,,TV,2014
602190,"8054EK 2 33,P34    SE-12-20-3-57,200 Sq. Feet",,T,"2
 Residential",,80200,102700,0,182900,109 ROYAL AVE. N.W.,,,TV,2014
602200,"8054EK 2 34,35    SE-12-20-3-57,060 Sq. Feet",,T,"2
 Residential",,79800,100700,0,180500,107 ROYAL AVE. N.W.,,,TV,2014
602210,"8054EK 2 36    SE-12-20-3-54,750 Sq. Feet",,T,"2
 Residential",,64300,198600,0,262900,105 ROYAL AVE. N.W.,,,TV,2014
603010,"7423DQ 3 1-5    SE-12-20-3-515,000 Sq. Feet",,T,"3
Commercial",,76200,110300,0,186500,220 MAIN ST. N.W.,,,TV,2014
603030,"7423DQ 3 6,7    SE-12-20-3-56,000 Sq. Feet   50' X 120'",,T,"3
Commercial",,54700,25500,0,80200,210 MAIN ST. N.W.,,,TV,2014
603040,"7423DQ 3 8,9    SE-12-20-3-56,000 Sq. Feet",,T,"3
Commercial",,76500,153700,0,230200,206 MAIN ST. N.W.,,,TV,2014
603050,"7423DQ 3 10,11    SE-12-20-3-56,000 Sq. Feet   50' X 120'",,T,"3
Commercial",,54700,285100,0,339800,202 MAIN STREET NORTH WEST,,,TV,2014
603060,"2229EW 3 12    SE-12-20-3-56,300 Sq. Feet",,T,"2
 Residential",,77500,144900,0,222400,108 EDGAR AVE. N.W.,,,TV,2014
603070,"2229EW 3 13    SE-12-20-3-56,300 Sq. Feet",,T,"2
 Residential",,77500,97400,0,174900,110 EDGAR AVE. N.W.,,,TV,2014
603080,"2229EW 3 14,15    SE-12-20-3-58,160 Sq. Feet",,T,"2
 Residential",,83200,146800,0,230000,114 EDGAR AVE. N.W.,,,TV,2014
603090,"2229EW 3 16,17    SE-12-20-3-58,060 Sq. Feet",,T,"2
 Residential",,82900,126800,0,209700,118 EDGAR AVE. N.W.,,,TV,2014
603100,"2229EW 3 18    SE-12-20-3-54,160 Sq. Feet",,T,"2
 Residential",,57200,46600,0,103800,120 EDGAR AVE. N.W.,,,TV,2014
603110,"2229EW 3 19,P20    SE-12-20-3-57,560 Sq. Feet",,T,"2
 Residential",,81300,221200,0,302500,122 EDGAR AVE. N.W.,,,TV,2014
603120,"2229EW 3 PT20    SE-12-20-3-56,300 Sq. Feet",,T,"2
 Residential",,77500,198100,0,275600,124 EDGAR AVE. N.W.,,,TV,2014
603130,"2229EW 3 21    SE-12-20-3-57,060 Sq. Feet",,T,"2
 Residential",,79800,93000,0,172800,201 HUBERT ST. N.W.,,,TV,2014
603140,"2229EW 3 22    SE-12-20-3-55,290 Sq. Feet",,T,"2
 Residential",,69600,140700,0,210300,121 FRONTENAC AVE. N.W.,,,TV,2014
603150,"2229EW 3 23    SE-12-20-3-56,450 Sq. Feet",,T,"2
 Residential",,77900,244300,0,322200,119 FRONTENAC AVE. N.W.,,,TV,2014
603160,"2229EW 3 24    SE-12-20-3-56,450 Sq. Feet",,T,"2
 Residential",,77900,103700,0,181600,117 FRONTENAC AVE. N.W.,,,TV,2014
603170,"2229EW 3 25    SE-12-20-3-55,160 Sq. Feet   Westerly 40' of Lot 25",,T,"2
 Residential",,68300,114700,0,183000,115 FRONTENAC AVE. N.W.,,,TV,2014
603175,"2229EW 3 25-27    SE-12-20-3-59,550 Sq. Feet",,T,"2
 Residential",,87400,40200,0,127600,113 FRONTENAC AVE. N.W.,,,TV,2014
603190,"2229EW 3 28,29    SE-12-20-3-58,514 Sq. Feet",,T,"2
 Residential",,84300,97600,0,181900,109 FRONTENAC AVE. N.W.,,,TV,2014
603200,"2229EW 3 W.30    SE-12-20-3-53,230 Sq. Feet",,T,"2
 Residential",,51600,146900,0,198500,107B FRONTENAC AVE. N.W.,,,TV,2014
603210,"2229EW 3 E.30    SE-12-20-3-53,230 Sq. Feet",,T,"2
 Residential",,51600,131800,0,183400,107A FRONTENAC AVE. N.W.,,,TV,2014
603220,"2229EW 3 W31    SE-12-20-3-53,230 Sq. Feet",,T,"2
 Residential",,43000,149700,0,192700,105B FRONTENAC AVE. N.W.,,,TV,2014
603230,"2229EW 3 E31    SE-12-20-3-53,230 Sq. Feet",,T,"2
 Residential",,43000,143900,0,186900,105A FRONTENAC AVE. N.W.,,,TV,2014
604010,"7423DQ 4 1,2    SE-12-20-3-57,920 Sq. Feet",,T,"2
 Residential",,82400,128600,0,211000,210 SUNSET BLVD. N.W.,,,TV,2014
604020,"7423DQ 4 3    SE-12-20-3-53,960 Sq. Feet",,T,"2
 Residential",,54200,62700,0,116900,212 SUNSET BLVD. N.W.,,,TV,2014
604030,"7423DQ 4 4,P5    SE-12-20-3-55,940 Sq. Feet",,T,"2
 Residential",,76000,107500,0,183500,214 SUNSET BLVD. N.W.,,,TV,2014
604040,"7423DQ 4 W5,6    SE-12-20-3-55,940 Sq. Feet",,T,"2
 Residential",,76000,179000,0,255000,216 SUNSET BLVD. N.W.,,,TV,2014
604050,"7423DQ 4 7    SE-12-20-3-53,960 Sq. Feet",,T,"2
 Residential",,54200,34900,0,89100,218 SUNSET BLVD. N.W.,,,TV,2014
604060,"7423DQ 4 8    SE-12-20-3-53,960 Sq. Feet",,T,"2
 Residential",,54200,38900,0,93100,220 SUNSET BLVD. N.W.,,,TV,2014
604070,"7423DQ 4 9,10    SE-12-20-3-57,920 Sq. Feet",,T,"2
 Residential",,82400,75200,0,157600,222 SUNSET BLVD. NW,,,TV,2014
604080,"7423DQ 4 11-12    SE-12-20-3-57,920 Sq. Feet",,T,"2
 Residential",,82400,139000,0,221400,224 SUNSET BLVD. N.W.,,,TV,2014
604090,"7423DQ 4 13    SE-12-20-3-56,360 Sq. Feet",,T,"2
 Residential",,77600,79200,0,156800,226 SUNSET BLVD. N.W.,,,TV,2014
604100,"8054EK 4 14,15    SE-12-20-3-512,926 Sq. Feet   2 @ 50' X 120' = 12,000",,T,"2
 Residential",,98600,129000,0,227600,202 SUNSET BLVD. N.W.,,,TV,2014
604110,"8054EK 4 15,16    SE-12-20-3-55,970 Sq. Feet",,T,"2
 Residential",,76200,110800,0,187000,206 SUNSET BLVD. N.W.,,,TV,2014
604120,"8054EK 4 17    SE-12-20-3-56,000 Sq. Feet",,T,"2
 Residential",,76500,111100,0,187600,208 SUNSET BLVD. N.W.,,,TV,2014
604130,"8054EK 4 PT18    SE-12-20-3-510,810 Sq. Feet",,T,"2
 Residential",,89800,64200,0,154000,106 HUBERT ST. N.W.,,,TV,2014
604140,"3603FD 4 19    SE-12-20-3-58,270 Sq. Feet",,T,"2
 Residential",,83500,87900,0,171400,201 WINDSOR AVE. N.W.,,,TV,2014
604150,"9212439 4 18A    SE-12-20-3-56,000 Sq. Feet",,T,"2
 Residential",,76500,39100,0,115600,203 WINDSOR AVE. N.W.,,,TV,2014
604160,"3603FD 4 20,P21    SE-12-20-3-56,600 Sq. Feet",,T,"2
 Residential",,78400,79400,0,157800,207 WINDSOR AVE. N.W.,,,TV,2014
604170,"3603FD 4 P21,22    SE-12-20-3-511,280 Sq. Feet",,T,"2
 Residential",,90300,132200,0,222500,211 WINDSOR AVE. NW,,,TV,2014
604180,"1178LK 4 23A    SE-12-20-3-59,000 Sq. Feet",,T,"2
 Residential",,85700,231800,0,317500,213 WINDSOR AVE. N.W.,,,TV,2014
604190,"1178LK 4 24A    SE-12-20-3-59,000 Sq. Feet",,T,"2
 Residential",,85700,152600,0,238300,215 WINDSOR AVE. N.W.,,,TV,2014
604200,"3603FD 4 26    SE-12-20-3-56,000 Sq. Feet",,T,"2
 Residential",,76500,67900,0,144400,217 WINDSOR AVE. N.W.,,,TV,2014
604210,"3603FD 4 27    SE-12-20-3-56,000 Sq. Feet",,T,"2
 Residential",,76500,137800,0,214300,219 WINDSOR AVE. N.W.,,,TV,2014
604220,"3603FD 4 28    SE-12-20-3-56,000 Sq. Feet",,T,"2
 Residential",,76500,187000,0,263500,221 WINDSOR AVE. N.W.,,,TV,2014
605010,"7423DQ 5 1,E2    SE-12-20-3-55,940 Sq. Feet",,T,"2
 Residential",,83700,81700,0,165400,302 SUNSET BLVD. N.W.,,,TV,2014
605020,"7423DQ 5 2-4    SE-12-20-3-59,900 Sq. Feet",,T,"2
 Residential",,97500,113500,0,211000,304 SUNSET BLVD. N.W.,,,TV,2014
605030,"7423DQ 5 5,6    SE-12-20-3-57,920 Sq. Feet",,T,"2
 Residential",,90800,105500,0,196300,306 SUNSET BLVD. N.W.,,,TV,2014
605040,"7423DQ 5 7,EB    SE-12-20-3-55,940 Sq. Feet",,T,"2
 Residential",,83700,77300,0,161000,308 SUNSET BLVD. N.W.,,,TV,2014
605050,"7423DQ 5 W8,9    SE-12-20-3-55,940 Sq. Feet",,T,"2
 Residential",,83700,116200,0,199900,310 SUNSET BLVD. N.W.,,,TV,2014
605060,"7423DQ 5 10,11    SE-12-20-3-57,920 Sq. Feet",,T,"2
 Residential",,90800,107100,0,197900,312 SUNSET BLVD. N.W.,,,TV,2014
605070,"9311679 5 34    SE-12-20-3-55,930 Sq. Feet",,T,"2
 Residential",,83600,53900,0,137500,314 SUNSET BLVD. N.W.,,,TV,2014
605075,"9311679 5 35    SE-12-20-3-55,930 Sq. Feet",,T,"2
 Residential",,83600,176500,0,260100,316 SUNSET BLVD. N.W.,,,TV,2014
605078,"7423DQ 5 15-17    SE-12-20-3-511,880 Sq. Feet",,T,"2
 Residential",,100200,125500,0,225700,320 SUNSET BLVD. N.W.,,,TV,2014
605090,"7423DQ 5 18,19    SE-12-20-3-57,920 Sq. Feet",,T,"2
 Residential",,90800,70000,0,160800,324 SUNSET BLVD. N.W.,,,TV,2014
605100,"7423DQ 5 20    SE-12-20-3-53,960 Sq. Feet",,T,"2
 Residential",,59700,94800,0,154500,328 SUNSET BLVD. N.W.,,,TV,2014
605110,"3603FD 5 21,W22    SE-12-20-3-510,200 Sq. Feet",,T,"2
 Residential",,98200,204900,0,303100,321 WINDSOR AVE. N.W.,,,TV,2014
605120,"3603FD 5 E22P23    SE-12-20-3-57,800 Sq. Feet",,T,"2
 Residential",,90400,105200,0,195600,319 WINDSOR AVE. N.W.,,,TV,2014
605125,"3603FD 5 P23,24    SE-12-20-3-57,200 Sq. Feet",,T,"2
 Residential",,88400,194900,0,283300,317 WINDSOR AVE. N.W.,,,TV,2014
605130,"3603FD 5 25    SE-12-20-3-56,000 Sq. Feet",,T,"2
 Residential",,84300,154400,0,238700,315 WINDSOR AVE. N.W.,,,TV,2014
605135,"3603FD 5 W26    SE-12-20-3-55,400 Sq. Feet",,T,"2
 Residential",,77900,183700,0,261600,313 WINDSOR AVE. N.W.,,,TV,2014
605140,"3603FD 5 E26,27    SE-12-20-3-56,600 Sq. Feet",,T,"2
 Residential",,86400,175800,0,262200,311 WINDSOR AVE. N.W.,,,TV,2014
605150,"3603FD 5 28    SE-12-20-3-56,000 Sq. Feet",,T,"2
 Residential",,84300,142700,0,227000,309 WINDSOR AVE. N.W.,,,TV,2014
605160,"3603FD 5 29,W30    SE-12-20-3-59,000 Sq. Feet",,T,"2
 Residential",,94500,155200,0,249700,307 WINDSOR AVE. N.W.,,,TV,2014
605170,"3603FD 5 E30,31    SE-12-20-3-59,000 Sq. Feet",,T,"2
 Residential",,94500,100300,0,194800,305 WINDSOR AVE. NW,,,TV,2014
605180,"3603FD 5 32,33    SE-12-20-3-512,000 Sq. Feet",,T,"2
 Residential",,100400,278000,0,378400,301 WINDSOR AVE. N.W.,,,TV,2014
606010,"3138FM 6 E1    SE-12-20-3-54,500 Sq. Feet",,T,"2
 Residential",,68200,95200,0,163400,401A WINDSOR AVE. N.W.,,,TV,2014
606020,"3138FM 6 W1    SE-12-20-3-54,500 Sq. Feet",,T,"2
 Residential",,68200,88000,0,156200,401B WINDSOR AVE. N.W.,,,TV,2014
606030,"3138FM 6 2    SE-12-20-3-59,000 Sq. Feet",,T,"2
 Residential",,94500,110600,0,205100,403 WINDSOR AVE. N.W.,,,TV,2014
606040,"3138FM 6 3    SE-12-20-3-510,560 Sq. Feet",,T,"15
Senior Apartments",,98600,395600,0,494200,405 WINDSOR AVE. N.W.,,,TV,2014
606050,"3138FM 6 4,5    SE-12-20-3-512,000 Sq. Feet",,T,"2
 Residential",,100400,164100,0,264500,407 WINDSOR AVE. N.W.,,,TV,2014
606060,"3138FM 6 6    SE-12-20-3-56,000 Sq. Feet",,T,"2
 Residential",,84300,209000,0,293300,411 WINDSOR AVE. N.W.,,,TV,2014
606070,"3138FM 6 7    SE-12-20-3-56,000 Sq. Feet",,T,"2
 Residential",,84300,158700,0,243000,413 WINDSOR AVE. N.W.,,,TV,2014
606080,"3138FM 6 8    SE-12-20-3-56,000 Sq. Feet",,T,"2
 Residential",,84300,148400,0,232700,415 WINSOR AVE. N.W.,,,TV,2014
606090,"3138FM 6 9    SE-12-20-3-56,000 Sq. Feet",,T,"2
 Residential",,84300,157300,0,241600,417 WINDSOR AVE. N.W.,,,TV,2014
606510,"7423DQ 6 1,2    SE-12-20-3-55,160 Sq. Feet   All of Lot 1 and East 10' of Lot 2",,T,"2
 Residential",,75300,39600,0,114900,402 SUNSET BLVD. N.W.,,,TV,2014
606520,"7423DQ 6 W2,3    SE-12-20-3-56,720 Sq. Feet   Portion of lot 2 w est of the easterly 10",,T,"2
 Residential",,86800,139000,0,225800,404 SUNSET BOULEVARD N.W.,,,TV,2014
606525,"7423DQ 6 4-6    SE-12-20-3-511,880 Sq. Feet",,T,"2
 Residential",,100200,140000,0,240200,406 SUNSET BLVD. N.W.,,,TV,2014
606540,"7423DQ 6 7,8    SE-12-20-3-57,920 Sq. Feet",,T,"2
 Residential",,90800,138300,0,229100,410 SUNSET BLVD. N.W.,,,TV,2014
606550,"7423DQ 6 9,P10    SE-12-20-3-55,940 Sq. Feet",,T,"2
 Residential",,83700,55000,0,138700,414 SUNSET BLVD. N.W.,,,TV,2014
606560,"7423DQ 6 10,11    SE-12-20-3-55,940 Sq. Feet",,T,"2
 Residential",,83700,150000,0,233700,416 SUNSET BLVD. N.W.,,,TV,2014
606570,"7423DQ 6 12,13    SE-12-20-3-55,940 Sq. Feet",,T,"2
 Residential",,83700,120100,0,203800,418 SUNSET BLVD. N.W.,,,TV,2014
606580,"7423DQ 6 13-15    SE-12-20-3-57,920 Sq. Feet",,T,"2
 Residential",,90800,96200,0,187000,420 SUNSET BLVD. N.W.,,,TV,2014
606590,"7423DQ 6 15,16    SE-12-20-3-57,140 Sq. Feet",,T,"2
 Residential",,88200,130800,0,219000,422 SUNSET BLVD. N.W.,,,TV,2014
607010,"3138FM 7 10    SE-12-20-3-56,000 Sq. Feet",,T,"2
 Residential",,84300,224100,0,308400,151 JOHN ST. N.W.,,,TV,2014
607020,"3138FM 7 11,12    SE-12-20-3-512,000 Sq. Feet",,T,"2
 Residential",,100400,191400,0,291800,418 WINDSOR AVE. NW,,,TV,2014
607030,"3138FM 7 13,14    SE-12-20-3-512,000 Sq. Feet",,T,"2
 Residential",,100400,121400,0,221800,412 WINDSOR AVE. N.W.,,,TV,2014
607040,"3138FM 7 15,16    SE-12-20-3-59,600 Sq. Feet",,T,"2
 Residential",,96500,185400,0,281900,410 WINSOR AVE. N.W.,,,TV,2014
607050,"3138FM 7 16,17    SE-12-20-3-58,400 Sq. Feet",,T,"2
 Residential",,92400,172000,0,264400,408 WINDSOR AVE. N.W.,,,TV,2014
607060,"3138FM 7 18    SE-12-20-3-56,000 Sq. Feet",,T,"2
 Residential",,84300,69700,0,154000,406 WINDSOR AVE. NW,,,TV,2014
607070,"3138FM 7 19    SE-12-20-3-55,400 Sq. Feet",,T,"2
 Residential",,77900,79600,0,157500,404 WINDSOR AVE. N.W.,,,TV,2014
607080,"3138FM 7 20    SE-12-20-3-55,160 Sq. Feet",,T,"2
 Residential",,75300,196200,0,271500,402 WINDSOR AVE. N.W.,,,TV,2014
607510,"7556JK 7 1    SE-12-20-3-58,880 Sq. Feet",,T,"2
 Residential",,94100,174800,0,268900,401 EDGAR AVE. N.W.,,,TV,2014
607520,"7556JK 7 2    SE-12-20-3-58,400 Sq. Feet",,T,"2
 Residential",,92400,162300,0,254700,403 EDGAR AVE. N.W.,,,TV,2014
607530,"7556JK 7 3    SE-12-20-3-57,800 Sq. Feet",,T,"2
 Residential",,90400,169100,0,259500,405 EDGAR AVE. N.W.,,,TV,2014
607540,"7556JK 7 4    SE-12-20-3-57,200 Sq. Feet",,T,"2
 Residential",,88400,160200,0,248600,407 EDGAR AVE. N.W.,,,TV,2014
607550,"7556JK 7 5    SE-12-20-3-57,800 Sq. Feet",,T,"2
 Residential",,90400,146300,0,236700,409 EDGAR AVE. N.W.,,,TV,2014
607560,"7556JK 7 6    SE-12-20-3-57,200 Sq. Feet",,T,"2
 Residential",,88400,164300,0,252700,411 EDGAR AVE. N.W.,,,TV,2014
