Roll Number,Legal Address,Tax/Exempt,Prop Type Code,Prop Type,Payer Type,Land Value,Impr. Value,Other Value,Total Value,Street Address,Prop Subtype,Description,Tax Year
600080,"2474DN  14,15    SE-12-20-3-5    9,776 Sq. Feet",T,3,Commercial,I  Individual,151500,0,0,151500,112 MAIN ST. N.W.,Land    NR - Non Residential,,2018
600090,"2474DN  16,17    SE-12-20-3-5    9,776 Sq. Feet",T,3,Commercial,I  Individual,151500,0,0,151500,108 MAIN ST. N.W.,Land    NR - Non Residential,,2018
600100,"2474DN  18,19    SE-12-20-3-5    9,780 Sq. Feet",T,3,Commercial,I  Individual,88500,399500,0,488000,104 MAIN ST. N.W.,Land    NR - Non Residential,,2018
600105,"2474DN  20    SE-12-20-3-5    6,020 Sq. Feet",T,3,Commercial,I  Individual,69800,0,0,69800,102 MAIN ST. N.W.,Land    NR - Non Residential,,2018
600110,"2474DN  21-23    SE-12-20-3-5    15,040 Sq. Feet",T,3,Commercial,I  Individual,97400,377500,0,474900,104 SUNSET BLVD. N.W.,Land    NR - Non Residential,,2018
600120,"2474DN  24    SE-12-20-3-5    4,890 Sq. Feet",T,3,Commercial,I  Individual,73900,0,0,73900,110 SUNSET BLVD. N.W.,Land    NR - Non Residential,,2018
600130,"2474DN  25,26    SE-12-20-3-5    9,780 Sq. Feet",T,3,Commercial,I  Individual,88500,260100,0,348600,112 SUNSET BLVD. N.W.,Land    NR - Non Residential,,2018
600140,"2474DN  27,28    SE-12-20-3-5    9,780 Sq. Feet",T,3,Commercial,I  Individual,88500,69000,0,157500,116 SUNSET BLVD. N.W.,Land    NR - Non Residential,,2018
600150,"2474DN  29    SE-12-20-3-5    4,890 Sq. Feet",T,3,Commercial,I  Individual,73900,0,0,73900,120 SUNSET BLVD. N.W.,Land    NR - Non Residential,,2018
600154,"2474DN  30,31    SE-12-20-3-5    9,780 Sq. Feet",T,3,Commercial,I  Individual,77300,0,0,77300,122 SUNSET BLVD. N.W.,Land    NR - Non Residential,,2018
600157,"2474DN  32    SE-12-20-3-5    4,890 Sq. Feet",T,3,Commercial,I  Individual,73900,0,0,73900,126 SUNSET BLVD. N.W.,Land    NR - Non Residential,,2018
600160,"2474DN  33    SE-12-20-3-5    7,520 Sq. Feet",T,2,Residential,I  Individual,22820,43800,0,66620,130 SUNSET BLVD. N.W.,Land    R - Residential,,2018
600160,"2474DN  33    SE-12-20-3-5    7,520 Sq. Feet",E,11,Institutional,I  Individual,68480,116800,0,185280,130 SUNSET BLVD. N.W.,Land    NR - Non Residential,,2018
600160,130 SUNSET BLVD. N.W.,,,,I  Individual,91300,160600,0,251900,Land    R - Residential,,,2018
602010,"7423DQ 2 1-3    SE-12-20-3-5    9,000 Sq. Feet",T,2,Residential,I  Individual,96400,81600,0,178000,318 MAIN ST. N.W.,Land    R - Residential,,2018
602020,"7423DQ 2 4,5    SE-12-20-3-5    6,000 Sq. Feet",T,3,Commercial,I  Individual,86000,91200,0,177200,314 MAIN ST. N.W.,Land    NR - Non Residential,,2018
602040,"7423DQ 2 6-9    SE-12-20-3-5    12,000 Sq. Feet",T,2,Residential,I  Individual,102300,126900,0,229200,306 MAIN ST. N.W.,Land    R - Residential,,2018
602050,"7423DQ 2 10,11    SE-12-20-3-5    7,080 Sq. Feet",T,3,Commercial,I  Individual,75400,258700,0,334100,302 MAIN ST. N.W.,Land    NR - Non Residential,,2018
602060,"8054EK 2 12,E13    SE-12-20-3-5    5,940 Sq. Feet",T,2,Residential,I  Individual,85400,140500,0,225900,108 FRONTENAC AVE. N.W.,Land    R - Residential,,2018
602070,"8054EK 2 13,14    SE-12-20-3-5    5,940 Sq. Feet",T,2,Residential,I  Individual,85400,199300,0,284700,110 FRONTENAC AVE. N.W.,Land    R - Residential,,2018
602080,"8054EK 2 15,16    SE-12-20-3-5    7,920 Sq. Feet",T,2,Residential,I  Individual,92700,179800,0,272500,112 FRONTENAC AVE. N.W.,Land    R - Residential,,2018
